epsilon_progress,nfe
0,0
6,100
99,1198
219,2294
356,3385
450,4477
518,5574
580,6668
628,7762
661,8852
690,9946
767,10967
803,11991
822,13020
846,14048
857,15071
866,16099
875,17129
881,18156
885,19185
895,20221
903,21257
908,22288
912,23318
923,24348
924,25383
928,26416
932,27448
935,28482
938,29509
941,30545
946,31580
948,32610
951,33645
953,34675
955,35704
957,36738
958,37772
959,38806
961,39841
963,40872
989,41903
992,42935
1004,43969
1005,45004
1005,46035
1008,47071
1009,48103
1010,49139
1010,50173
